2.7.1.175	MAK1_MYCTU Maltokinase	mak
4.1.3.27	TRPE_MYCTU Anthranilate synthase component 1	trpE
3.5.1.23	NCASE_MYCTU Neutral ceramidase	Rv0669c
2.4.2.19	NADC_MYCTU Nicotinate-nucleotide pyrophosphorylase [carboxylating]	nadC
4.1.1.72		
3.5.1.28	PEPAM_MYCTU N-acetylmuramoyl-L-alanine amidase Rv3717	Rv3717
1.6.1.1	STHA_MYCTU Probable soluble pyridine nucleotide transhydrogenase	sthA
4.1.2.13	ALF_MYCTU Fructose-bisphosphate aldolase	fba
2.7.7.3	COAD_MYCTU Phosphopantetheine adenylyltransferase	coaD
2.7.7.7	DPO1_MYCTU DNA polymerase I	polA
2.7.7.6	RPOB_MYCTU DNA-directed RNA polymerase subunit beta	rpoB
2.7.7.4	CYSNC_MYCTU Bifunctional enzyme CysN/CysC	cysNC
2.7.8.B13		
2.7.8.B10		
3.4.23.36	LSPA_MYCTU Lipoprotein signal peptidase	lspA
4.1.1.1		
5.3.1.28	GMHA_MYCTO Phosphoheptose isomerase	gmhA
2.4.1.58		
5.2.1.8	PPIA_MYCTU Peptidyl-prolyl cis-trans isomerase A	ppiA
3.6.3.23		
1.3.3.4	PPOX_MYCTU Protoporphyrinogen oxidase	hemY
2.5.1.26	A0A045K3Z5_MYCTX Alkyldihydroxyacetonephosphate synthase	agpS
3.6.3.43		
3.6.3.44	A0A1K3C3T2_MYCTX ABC transporter	mdlB
2.5.1.20		
1.2.1.12	G3P_MYCTU Glyceraldehyde-3-phosphate dehydrogenase	gap
1.2.1.11	DHAS_MYCTU Aspartate-semialdehyde dehydrogenase	asd
1.15.1.1	SODC_MYCTU Superoxide dismutase [Cu-Zn]	sodC
4.2.1.20	TRPB_MYCTU Tryptophan synthase beta chain	trpB
1.2.1.16	A0A045JTD4_MYCTX Putative succinate-semialdehyde dehydrogenase [NADP+] 2	gabD
1.11.1.14		
1.11.1.15	TPX_MYCTU Thiol peroxidase	tpx
1.5.3.5		
2.2.1.1	TKT_MYCTU Transketolase	tkt
2.2.1.2	TAL_MYCTU Transaldolase	tal
2.3.1.206		
2.2.1.6	ILVB1_MYCTU Acetolactate synthase large subunit IlvB1	ilvB1
2.2.1.7	DXS_MYCTU 1-deoxy-D-xylulose-5-phosphate synthase	dxs
2.4.1.109	PMT_MYCTU Probable dolichyl-phosphate-mannose--protein mannosyltransferase	pmt
1.5.5.2	A0A045I2D8_MYCTX Proline dehydrogenase	fadM
2.1.1.129		
2.7.7.41	CDSA_MYCTU Phosphatidate cytidylyltransferase	cdsA
3.1.16.1		
1.8.4.8	CYSH_MYCTU Probable phosphoadenosine phosphosulfate reductase	cysH
1.8.4.9		
2.7.8.13	MRAY_MYCTU Phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY
2.7.7.49	A0A0T9N8H7_MYCTX RNA-directed DNA polymerase	ltrA_4
1.8.4.7		
2.3.1.20	A85B_MYCTU Diacylglycerol acyltransferase/mycolyltransferase Ag85B	fbpB
2.1.1.63	OGT_MYCTU Methylated-DNA--protein-cysteine methyltransferase	ogt
1.1.1.23	HISX_MYCTU Histidinol dehydrogenase	hisD
2.2.1.10		
6.1.1.10	SYM_MYCTU Methionine--tRNA ligase	metG
1.1.1.25	A0A1K3RIC7_MYCTX Shikimate dehydrogenase (NADP(+))	aroE_2
3.1.2.20		
1.6.5.4		
1.6.5.3	A0A045IAH8_MYCTX NADH dehydrogenase I subunit J	nuoJ
1.6.5.2	LPDA_MYCTU NAD(P)H dehydrogenase (quinone)	lpdA
3.5.4.5	CDD_MYCTU Cytidine deaminase	cdd
6.1.1.17	SYE_MYCTU Glutamate--tRNA ligase	gltX
1.6.3.4		
2.4.2.36		
6.1.1.19	SYR_MYCTU Arginine--tRNA ligase	argS
6.1.1.18	A0A1K3GU10_MYCTX Glutamine--tRNA ligase	gltS_1
3.1.21.1	A0A1K3AY71_MYCTX Endonuclease-1	endA
1.3.5.1	FRDB_MYCTU Fumarate reductase iron-sulfur subunit	frdB
6.1.1.7	SYA_MYCTU Alanine--tRNA ligase	alaS
3.6.5.1		
6.1.1.5	SYI_MYCTU Isoleucine--tRNA ligase	ileS
3.5.2.2	A0A1K3D4L9_MYCTX Phenylhydantoinase	hydA
3.5.4.9	FOLD_MYCTU Bifunctional protein FolD	folD
2.3.2.12		
3.6.3.7		
3.6.3.5	A0A0U0QJW5_MYCTX Putative cation transporter P-type ATPase CtpJ	ctpJ
3.6.3.4	A0A0T7LWE5_MYCTX Metal cation transporter P-type ATPase, CtpV	copA_2
6.2.1.15		
3.6.4.12	UVRD1_MYCTU ATP-dependent DNA helicase UvrD1	uvrD1
3.6.4.13	DEAD_MYCTU ATP-dependent RNA helicase DeaD	deaD
1.5.1.2	P5CR_MYCTU Pyrroline-5-carboxylate reductase	proC
1.5.1.3	DYR_MYCTU Dihydrofolate reductase	folA
3.3.2.1	A0A0T9K7B0_MYCTX Isochorismatase hydrolase	ERS075342_00981
2.7.1.148	ISPE_MYCTU 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	ispE
1.14.19.5		
3.8.1.3	A0A0T9KJK1_MYCTX Epoxide hydrolase	dehH1_1
4.2.1.55		
6.4.1.1	P95127_MYCTO Pyruvate carboxylase	pca
3.6.1.31	HIS2_MYCTU Phosphoribosyl-ATP pyrophosphatase	hisE
4.2.1.46	RMLB_MYCTU dTDP-glucose 4,6-dehydratase	rmlB
3.4.22.35		
5.3.1.8	A0A045JT41_MYCTX Mannose-6-phosphate isomerase	manA
3.5.1.4	AMI3_MYCTU Putative amidase AmiC	amiC
1.6.99.1	A0A0T9K223_MYCTX FAD/FMN-binding oxidoreductase	namA
5.3.1.9	G6PI_MYCTU Glucose-6-phosphate isomerase	pgi
1.13.11.2	A0A0T9MMY7_MYCTX Lactoylglutathione lyase	catE
2.6.1.9	HIS8_MYCTU Histidinol-phosphate aminotransferase	hisC
3.2.2.22		
1.2.2.4		
4.2.1.78		
1.1.1.157	FADB2_MYCTU 3-hydroxybutyryl-CoA dehydrogenase	fadB2
1.13.11.27	A0A0T9LUC8_MYCTX Putative 4-hydroxyphenylpyruvate dioxygenase	hpd
3.5.1.18	DAPE_MYCTU Putative succinyl-diaminopimelate desuccinylase DapE	dapE
3.5.1.19	PNCA_MYCTU Nicotinamidase/pyrazinamidase	pncA
3.4.11.5	A0A0T9MIV7_MYCTX Proline iminopeptidase	pip_3
3.6.5.4		
3.6.3.B1		
3.4.11.1	LPQL_MYCTU Probable lipoprotein aminopeptidase LpqL	lpqL
3.5.1.11		
1.2.1.51		
3.1.3.5	A0A1K3CWY5_MYCTX 5'-nucleotidase SurE	surE
3.1.3.7	CYSQ_MYCTU 3'-phosphoadenosine 5'-phosphate phosphatase	cysQ
1.14.99.24		
3.1.3.1	A0A0T9L699_MYCTX Integral membrane cytochrome D ubiquinol oxidase (Subunit II) CydB	cydB_1
3.1.3.2	SAPM_MYCTU Phosphatidylinositol-3-phosphatase	sapM
3.1.3.3	SERB2_MYCTU Phosphoserine phosphatase SerB2	serB2
3.4.25.1	PSA_MYCTU Proteasome subunit alpha	prcA
2.7.7.59	GLND_MYCTU Bifunctional uridylyltransferase/uridylyl-removing enzyme	glnD
3.6.1.1	IPYR_MYCTU Inorganic pyrophosphatase	ppa
2.7.7.9	A0A0T9LGL2_MYCTX UTP--glucose-1-phosphate uridylyltransferase	gtaB
1.14.13.54		
2.8.1.10	THIG_MYCTU Thiazole synthase	thiG
1.4.4.2	GCSP_MYCTU Probable glycine dehydrogenase (decarboxylating)	gcvP
3.6.4.8		
3.4.23.48		
2.3.1.179	A0A1K3EIE6_MYCTX 3-oxoacyl-[acyl-carrier-protein] synthase 2	kasA_1
3.1.1.2	A0A045I2W5_MYCTX Alpha/beta fold family hydrolase	cpo_1
3.1.1.3	LIPY_MYCTU Triacylglycerol lipase	lipY
4.4.1.1	A0A1K3B8I4_MYCTX Cystathionine beta-lyase/cystathionine gamma-synthase	metC_1
4.4.1.4		
3.2.1.14	A0A0T9JXR2_MYCTX Chitinase D	chiD
3.2.1.17	LYS25_MYCTU Putative peptidoglycan hydrolase Rv2525c	Rv2525c
1.8.99.2		
3.4.21.4	A0A0T9M740_MYCTX Trypsin	ERS075342_05439
3.5.1.88	DEF_MYCTU Peptide deformylase	def
1.3.1.6		
4.1.2.25	FOLB_MYCTU Dihydroneopterin aldolase	folB
3.1.1.58		
3.4.13.9	A0A0E8TXI3_MYCTX Dipeptidase pepE	pepQ_1
2.5.1.61	HEM3_MYCTU Porphobilinogen deaminase	hemC
1.3.1.9	INHA_MYCTU Enoyl-[acyl-carrier-protein] reductase [NADH]	inhA
3.1.3.31		
2.7.4.8	KGUA_MYCTU Guanylate kinase	gmk
3.5.1.2	PDXT_MYCTU Pyridoxal 5'-phosphate synthase subunit PdxT	pdxT
3.5.4.13	A0A1K3GKR1_MYCTX dCTP deaminase	dcd_1
4.4.1.9		
2.7.1.40	KPYK_MYCTU Pyruvate kinase	pyk
2.1.2.1	GLYA1_MYCTU Serine hydroxymethyltransferase 1	glyA1
2.1.2.3	PUR9_MYCTU Bifunctional purine biosynthesis protein PurH	purH
6.2.1.3	FAC13_MYCTU Long-chain-fatty-acid--CoA ligase FadD13	fadD13
3.4.21.62	A0A0E8BFL8_MYCTX Membrane-anchored mycosin mycP4	apr
4.1.1.37	DCUP_MYCTU Uroporphyrinogen decarboxylase	hemE
3.1.1.42		
1.18.1.3	A0A1K3CZ18_MYCTX Nitrite reductase large subunit	todA
1.18.1.2	FPRA_MYCTU NADPH-ferredoxin reductase FprA	fprA
4.6.1.1	Y1264_MYCTU pH-sensitive adenylate cyclase Rv1264	Rv1264
3.4.21.61		
3.4.21.97		
3.4.21.92	CLPP2_MYCTU ATP-dependent Clp protease proteolytic subunit 2	clpP2
3.4.21.90		
4.3.1.17	SDHL_MYCTU L-serine dehydratase	sdaA
4.3.1.5		
5.5.1.4	INO1_MYCTU Inositol-3-phosphate synthase	ino1
1.1.98.6		
3.4.22.B28		
3.1.1.1	LIPF_MYCTU Carboxylesterase LipF	lipF
1.6.5.11	NUOG_MYCTU NADH-quinone oxidoreductase subunit G	nuoG
1.2.4.4	BKDB_MYCTU 3-methyl-2-oxobutanoate dehydrogenase subunit beta	bkdB
1.2.4.2	KGD_MYCTA Multifunctional 2-oxoglutarate metabolism enzyme	kgd
2.1.2.11	PANB_MYCTU 3-methyl-2-oxobutanoate hydroxymethyltransferase	panB
5.4.99.9	GLF_MYCTU UDP-galactopyranose mutase	glf
1.5.1.20	A0A0T9L5G3_MYCTX Methylenetetrahydrofolate reductase	metF
1.2.1.27	A0A0U0S8W8_MYCTX Methylmalonate-semialdehyde dehydrogenase	mmsA_1
4.2.3.5	AROC_MYCTU Chorismate synthase	aroC
3.2.1.1	TRES_MYCTU Trehalose synthase/amylase TreS	treS
6.3.2.3	A0A1K3DGM2_MYCTX Glutathione synthetase	gshB
6.3.2.1	PANC_MYCTU Pantothenate synthetase	panC
4.2.1.2	FUMC_MYCTU Fumarate hydratase class II	fumC
4.2.1.3	ACNA_MYCTU Aconitate hydratase A	acn
6.3.2.4	DDL_MYCTU D-alanine--D-alanine ligase	ddl
4.2.1.1	MTCA1_MYCTU Beta-carbonic anhydrase 1	mtcA1
3.6.3.29	MODC_MYCTU Molybdenum import ATP-binding protein ModC	modC
6.3.2.8	MURC_MYCTU UDP-N-acetylmuramate--L-alanine ligase	murC
6.3.2.9	MURD_MYCTA UDP-N-acetylmuramoylalanine--D-glutamate ligase	murD
4.2.1.9	ILVD_MYCTU Dihydroxy-acid dehydratase	ilvD
1.20.4.3		
1.20.4.1	A0A1K3FZB8_MYCTX Arsenate reductase	arsC_2
6.3.4.2	PYRG_MYCTU CTP synthase	pyrG
4.99.1.1	HEMH_MYCTU Ferrochelatase	hemH
3.4.22.32		
1.1.1.205	IMDH_MYCTU Inosine-5'-monophosphate dehydrogenase	guaB
2.4.1.212	A0A0T9QFW0_MYCTX PGL/p-HBAD biosynthesis glycosyl transferase	hyaD_3
3.2.2.27	UNG_MYCTU Uracil-DNA glycosylase	ung
3.2.2.21	ALKA_MYCTU Probable bifunctional transcriptional activator/DNA repair enzyme AlkA	alkA
3.2.2.20	L7N613_MYCTO DNA-3-methyladenine glycosidase I	tag
3.2.2.23	FPG1_MYCTU Formamidopyrimidine-DNA glycosylase 1	fpg1
2.3.1.88		
2.3.1.82		
3.6.3.52		
3.6.3.51		
2.3.1.81		
3.2.1.117		
1.12.7.2		
3.2.1.123		
3.2.1.52	A0A1K3RJP8_MYCTX Beta-N-acetylhexosaminidase	ybbD
3.4.24.74		
2.7.7.51		
4.1.1.36	COABC_MYCTU Coenzyme A biosynthesis bifunctional protein CoaBC	coaBC
1.14.13.67		
2.3.1.35	ARGJ_MYCTU Arginine biosynthesis bifunctional protein ArgJ	argJ
2.3.1.32		
2.3.1.31	METXA_MYCTU Homoserine O-acetyltransferase	metXA
2.3.1.30	CYSE_MYCTU Serine acetyltransferase	cysE
4.2.1.157		
1.1.1.14	A0A045ISW5_MYCTX Alcohol dehydrogenase	adh_2
3.1.26.4	RNHPH_MYCTU Bifunctional protein Rv2228c	Rv2228c
2.7.1.86		
1.1.1.1	ADHD_MYCTU Putative alcohol dehydrogenase D	adhD
1.1.1.2	ADHC_MYCTU NADP-dependent alcohol dehydrogenase C	adhC
4.1.99.22	MOAA1_MYCTU GTP 3',8-cyclase 1	moaA1
3.6.3.47		
4.3.1.19	ILVA_MYCTU L-threonine dehydratase biosynthetic IlvA	ilvA
3.2.1.21	A0A0T9KSD8_MYCTX Beta-glucosidase A	bglA_3
3.2.1.23	A0A0T9Q7T7_MYCTX Beta-galactosidase	lacZ
4.2.3.1	THRC_MYCTU Threonine synthase	thrC
6.1.1.21	SYH_MYCTU Histidine--tRNA ligase	hisS
3.2.1.28	TREH_MYCTU Trehalase	Rv2402
5.99.1.2	TOP1_MYCTU DNA topoisomerase 1	topA
3.5.1.B15		
3.2.1.41		
3.4.23.B5		
3.6.5.2		
2.3.2.2	P71828_MYCTO Gamma-glutamyltransferase	ggt-1
